,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or,eof
START,,,,,,,,,,,,,,,START → _prog PROG _endProg eof,,,,,,,,,,,,,,,,,,,,,,,,START → _prog PROG _endProg eof,,START → _prog PROG _endProg eof,,,,,,START → PROG eof
ADDOP,,,,,,,,,,,,,,,,,,,,,,,ADDOP → _addOp minus,ADDOP → _addOp plus,,,,,,,,,,,,,,,,,,,,,,ADDOP → _addOp or,
APARAMS,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr,,,,,,,,,,,,,,,,,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr,,,,,,,,,,,,,,,,,,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr ,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr,ARITHEXPR → _arithExpr TERM RIGHTRECARITHEXPR _endArithExpr,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,,,ARRAYSIZE2 → _num intlit rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → _assignOp equal,,
EXPR,,,,,EXPR → _expr ARITHEXPR EXPR2 _endExpr,EXPR → _expr ARITHEXPR EXPR2 _endExpr,,,,,,,,,,,,,,,,,EXPR → _expr ARITHEXPR EXPR2 _endExpr,EXPR → _expr ARITHEXPR EXPR2 _endExpr,,,,,,,,,,,,,,,,,,EXPR → _expr ARITHEXPR EXPR2 _endExpr,EXPR → _expr ARITHEXPR EXPR2 _endExpr,EXPR → _expr ARITHEXPR EXPR2 _endExpr,,,
EXPR2,,,,EXPR2 → &epsilon,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → _factor lpar ARITHEXPR rpar _endFactor,FACTOR → _factor _id id FACTOR2 REPTVARORFUNCCALL _endFactor,,,,,,,,,,,,,,,,,FACTOR → _factor SIGN FACTOR _endSign _endFactor,FACTOR → _factor SIGN FACTOR _endSign _endFactor,,,,,,,,,,,,,,,,,,FACTOR → _factor _not not FACTOR _endNot _endFactor,FACTOR → _factor _num floatlit _endFactor,FACTOR → _factor _num intlit _endFactor,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar APARAMS rpar,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,,FACTOR2 → REPTIDNEST1,
